"","subID","Exclusion_preScreen","Exclusion_postScreen","Exclude","PowerLevel","PublicPattern","PrivatePattern","PublicVoteCount","PrivateVoteCount","yellowVotesToFirstBlue","yellowBeliefsToFirstBlue","Spkr2_Flip","all_or_none","Measure","SpkrID","Values"
"117",18,"Round1","Passed",0,"Popular","YYYYY","YBYYY",4,3,4,1,"Spkr2_VotesYellow","YYYYY","PrivateBelief","Spkr4",16
"118",18,"Round1","Passed",0,"Popular","YYYYY","YBYYY",4,3,4,1,"Spkr2_VotesYellow","YYYYY","PrivateBelief","Spkr5",18
"119",18,"Round1","Passed",0,"Popular","YYYYY","YBYYY",4,3,4,1,"Spkr2_VotesYellow","YYYYY","Decision","TeamChoice",16
"120",18,"Round1","Passed",0,"Popular","YYYYY","YBYYY",4,3,4,1,"Spkr2_VotesYellow","YYYYY","Decision","AccurateChoice",20
"121",19,"Round1","Passed",0,"Anonymous","YBBYB","YBBBB",1,0,1,1,"Spkr2_VotesBlue","Mixed","PublicVote","Spkr2",1
"122",19,"Round1","Passed",0,"Anonymous","YBBYB","YBBBB",1,0,1,1,"Spkr2_VotesBlue","Mixed","PublicVote","Spkr3",5
"123",19,"Round1","Passed",0,"Anonymous","YBBYB","YBBBB",1,0,1,1,"Spkr2_VotesBlue","Mixed","PublicVote","Spkr4",12
"124",19,"Round1","Passed",0,"Anonymous","YBBYB","YBBBB",1,0,1,1,"Spkr2_VotesBlue","Mixed","PublicVote","Spkr5",1
"125",19,"Round1","Passed",0,"Anonymous","YBBYB","YBBBB",1,0,1,1,"Spkr2_VotesBlue","Mixed","PrivateBelief","Spkr2",1
"126",19,"Round1","Passed",0,"Anonymous","YBBYB","YBBBB",1,0,1,1,"Spkr2_VotesBlue","Mixed","PrivateBelief","Spkr3",1
"127",19,"Round1","Passed",0,"Anonymous","YBBYB","YBBBB",1,0,1,1,"Spkr2_VotesBlue","Mixed","PrivateBelief","Spkr4",1
"128",19,"Round1","Passed",0,"Anonymous","YBBYB","YBBBB",1,0,1,1,"Spkr2_VotesBlue","Mixed","PrivateBelief","Spkr5",1
"129",19,"Round1","Passed",0,"Anonymous","YBBYB","YBBBB",1,0,1,1,"Spkr2_VotesBlue","Mixed","Decision","TeamChoice",5
"130",19,"Round1","Passed",0,"Anonymous","YBBYB","YBBBB",1,0,1,1,"Spkr2_VotesBlue","Mixed","Decision","AccurateChoice",8
"131",20,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PublicVote","Spkr2",1
